"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Pub.nlogo"
"Mixed Group_Set DD by Olf_Lower Range"
"07/09/2024 11:55:26:676 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","pen","N-Birds","see-wind-arrows","Length-Odor-Trails","Olfaction-Threshold","Detection-Distance","communicate","weight-flock-crosswind","Seed","Mixed-Group","Number-Of-Low-Olf","[step]","(count turtles with [did-find-food = 1])","(count turtles with [ever-find-odor = 1])","(count turtles with [ever-find-odor = 0 and did-find-food = 1])","(count turtles with [ever-find-odor = 1 and did-find-food = 0])","(count turtles with [did-find-food = 1 and dd = 50])","(count turtles with [did-find-food = 1 and dd = 10])"
"162","false","50","false","200","40","50","true","0","127","true","49","500","43","1","42","0","42","1"
"167","false","50","false","200","40","50","true","0","128","true","48","500","48","2","46","0","46","2"
"187","false","50","false","200","40","50","true","0","132","true","30","500","45","16","30","1","30","15"
"183","false","50","false","200","40","50","true","0","131","true","44","370","50","6","44","0","44","6"
"182","false","50","false","200","40","50","true","0","131","true","42","383","50","8","42","0","42","8"
"177","false","50","false","200","40","50","true","0","130","true","44","500","41","3","39","1","39","2"
"173","false","50","false","200","40","50","true","0","129","true","48","500","47","2","45","0","45","2"
"193","false","50","false","200","40","50","true","0","133","true","30","500","44","14","30","0","30","14"
"184","false","50","false","200","40","50","true","0","131","true","46","500","40","4","39","3","39","1"
"199","false","50","false","200","40","50","true","0","134","true","30","500","47","17","30","0","30","17"
"197","false","50","false","200","40","50","true","0","133","true","48","500","26","1","25","0","25","1"
"178","false","50","false","200","40","50","true","0","130","true","46","500","31","2","30","1","30","1"
"188","false","50","false","200","40","50","true","0","132","true","42","500","47","5","42","0","42","5"
"185","false","50","false","200","40","50","true","0","131","true","48","500","48","2","46","0","46","2"
"168","false","50","false","200","40","50","true","0","128","true","49","500","26","1","25","0","25","1"
"206","false","50","false","200","40","50","true","0","135","true","42","500","49","8","42","1","42","7"
"190","false","50","false","200","40","50","true","0","132","true","46","500","47","1","46","0","46","1"
"195","false","50","false","200","40","50","true","0","133","true","44","500","49","5","44","0","44","5"
"200","false","50","false","200","40","50","true","0","134","true","42","500","47","5","42","0","42","5"
"191","false","50","false","200","40","50","true","0","132","true","48","500","49","1","48","0","48","1"
"189","false","50","false","200","40","50","true","0","132","true","44","500","47","3","44","0","44","3"
"205","false","50","false","200","40","50","true","0","135","true","30","336","50","20","30","0","30","20"
"194","false","50","false","200","40","50","true","0","133","true","42","500","48","6","42","0","42","6"
"201","false","50","false","200","40","50","true","0","134","true","44","500","48","4","44","0","44","4"
"207","false","50","false","200","40","50","true","0","135","true","44","500","49","6","43","0","43","6"
"217","false","50","false","200","40","50","true","0","137","true","30","500","49","19","30","0","30","19"
"179","false","50","false","200","40","50","true","0","130","true","48","500","0","0","0","0","0","0"
"211","false","50","false","200","40","50","true","0","136","true","30","500","44","14","30","0","30","14"
"192","false","50","false","200","40","50","true","0","132","true","49","500","0","0","0","0","0","0"
"174","false","50","false","200","40","50","true","0","129","true","49","500","19","1","18","0","18","1"
"216","false","50","false","200","40","50","true","0","136","true","49","500","16","1","15","0","15","1"
"208","false","50","false","200","40","50","true","0","135","true","46","500","43","4","39","0","39","4"
"223","false","50","false","200","40","50","true","0","138","true","30","500","37","16","30","9","30","7"
"180","false","50","false","200","40","50","true","0","130","true","49","500","0","0","0","0","0","0"
"213","false","50","false","200","40","50","true","0","136","true","44","500","47","5","42","0","42","5"
"212","false","50","false","200","40","50","true","0","136","true","42","500","47","5","42","0","42","5"
"218","false","50","false","200","40","50","true","0","137","true","42","372","50","8","42","0","42","8"
"196","false","50","false","200","40","50","true","0","133","true","46","500","46","3","43","0","43","3"
"209","false","50","false","200","40","50","true","0","135","true","48","500","44","2","42","0","42","2"
"204","false","50","false","200","40","50","true","0","134","true","49","500","40","1","39","0","39","1"
"219","false","50","false","200","40","50","true","0","137","true","44","500","49","6","43","0","43","6"
"236","false","50","false","200","40","50","true","0","140","true","42","500","45","7","38","0","38","7"
"221","false","50","false","200","40","50","true","0","137","true","48","500","48","2","46","0","46","2"
"225","false","50","false","200","40","50","true","0","138","true","44","500","47","4","44","1","44","3"
"224","false","50","false","200","40","50","true","0","138","true","42","500","45","7","42","4","42","3"
"220","false","50","false","200","40","50","true","0","137","true","46","500","48","4","44","0","44","4"
"203","false","50","false","200","40","50","true","0","134","true","48","500","37","1","36","0","36","1"
"214","false","50","false","200","40","50","true","0","136","true","46","500","49","4","45","0","45","4"
"202","false","50","false","200","40","50","true","0","134","true","46","500","38","1","37","0","37","1"
"222","false","50","false","200","40","50","true","0","137","true","49","500","48","1","47","0","47","1"
"229","false","50","false","200","40","50","true","0","139","true","30","500","21","5","18","2","18","3"
"247","false","50","false","200","40","50","true","0","142","true","30","500","33","11","27","5","27","6"
"226","false","50","false","200","40","50","true","0","138","true","46","500","48","3","46","1","46","2"
"235","false","50","false","200","40","50","true","0","140","true","30","500","43","14","29","0","29","14"
"210","false","50","false","200","40","50","true","0","135","true","49","500","41","1","40","0","40","1"
"230","false","50","false","200","40","50","true","0","139","true","42","500","32","2","31","1","31","1"
"241","false","50","false","200","40","50","true","0","141","true","30","500","45","20","30","5","30","15"
"215","false","50","false","200","40","50","true","0","136","true","48","500","41","2","39","0","39","2"
"242","false","50","false","200","40","50","true","0","141","true","42","500","49","8","41","0","41","8"
"198","false","50","false","200","40","50","true","0","133","true","49","500","25","1","24","0","24","1"
"243","false","50","false","200","40","50","true","0","141","true","44","404","50","6","44","0","44","6"
"259","false","50","false","200","40","50","true","0","144","true","30","500","47","18","29","0","29","18"
"245","false","50","false","200","40","50","true","0","141","true","48","500","41","2","39","0","39","2"
"246","false","50","false","200","40","50","true","0","141","true","49","500","48","1","47","0","47","1"
"244","false","50","false","200","40","50","true","0","141","true","46","500","37","4","33","0","33","4"
"257","false","50","false","200","40","50","true","0","143","true","48","500","4","1","3","0","3","1"
"237","false","50","false","200","40","50","true","0","140","true","44","500","41","5","36","0","36","5"
"238","false","50","false","200","40","50","true","0","140","true","46","500","42","4","38","0","38","4"
"227","false","50","false","200","40","50","true","0","138","true","48","500","0","1","0","1","0","0"
"228","false","50","false","200","40","50","true","0","138","true","49","500","0","1","0","1","0","0"
"271","false","50","false","200","40","50","true","0","146","true","30","500","47","18","30","1","30","17"
"239","false","50","false","200","40","50","true","0","140","true","48","500","41","2","40","1","40","1"
"234","false","50","false","200","40","50","true","0","139","true","49","500","0","0","0","0","0","0"
"232","false","50","false","200","40","50","true","0","139","true","46","500","29","1","28","0","28","1"
"231","false","50","false","200","40","50","true","0","139","true","44","500","26","1","25","0","25","1"
