"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Parameterization.nlogo"
"Parameterize max turn angle"
"06/11/2024 14:08:18:285 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","Detect-Dist-Food","see-wind-arrows","pen","Size-Bird","TotalTimeSpentZigZagging","Length-Odor-Trails","ZigZagAngle","Sep-Vision-Interdependent","TimeUpWind","TimeZigZagging","N-Birds","JitterOdor","Step","minimum-separation","Detection-Distance","weight-flock-crosswind","communicate","Olfaction-Threshold","Seed","max-separate-turn","max-align-cohere-turn","[step]","((count turtles with [did-find-food = 1]) / N-Birds) * 100"
"182","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","12","1","10","500","68"
"174","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","11","2","10","500","56.00000000000001"
"183","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","12","1","20","500","62"
"191","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","12","2","20","500","96"
"188","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","12","1.5","40","499","100"
"181","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","12","1","1","500","50"
"173","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","11","2","1","500","54"
"187","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","12","1.5","20","500","56.00000000000001"
"194","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","13","0.5","10","500","78"
"186","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","12","1.5","10","500","48"
"200","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","13","1","40","446","100"
"195","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","13","0.5","20","500","84"
