"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Parameterization.nlogo"
"Parameterize Vision and Separation"
"06/11/2024 14:24:42:098 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","Detect-Dist-Food","see-wind-arrows","pen","Size-Bird","Length-Odor-Trails","N-Birds","Step","Sep-Vision-Interdependent","JitterOdor","Sep-in-crosswind","ZigZagAngle","TimeUpWind","TimeZigZagging","TotalTimeSpentZigZagging","weight-flock-crosswind","communicate","max-separate-turn","max-align-cohere-turn","Olfaction-Threshold","Seed","minimum-separation","Detection-Distance","[step]","((count turtles with [did-find-food = 1]) / N-Birds) * 100"
"107","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","1","20","352","100"
"111","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","2","10","500","96"
"116","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","3","10","500","92"
"103","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","7","30","370","100"
"30","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","6","50","417","100"
"112","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","2","20","413","100"
"20","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","4","50","337","100"
"35","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","7","50","396","100"
"117","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","3","20","364","100"
"108","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","1","30","361","100"
"118","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","3","30","371","100"
"69","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","7","40","500","92"
"113","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","2","30","351","100"
"121","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","4","10","500","48"
"60","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","5","50","390","100"
"80","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","2","50","325","100"
"50","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","3","50","395","100"
"122","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","4","20","380","100"
"126","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","5","10","500","44"
"99","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","6","40","349","100"
"75","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","1","50","336","100"
"127","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","5","20","500","86"
"131","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","6","10","500","56.00000000000001"
"128","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","5","30","372","100"
"123","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","4","30","353","100"
"109","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","1","40","361","100"
"136","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","7","10","500","52"
"114","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","2","40","352","100"
"141","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","1","10","500","88"
"95","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","5","50","326","100"
"104","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","7","40","375","100"
"132","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","6","20","500","64"
"119","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","3","40","476","100"
"55","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","4","50","440","100"
"142","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","1","20","500","94"
"137","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","7","20","500","86"
"146","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","2","10","500","70"
"133","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","6","30","387","100"
"85","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","3","50","329","100"
"147","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","2","20","500","86"
"151","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","3","10","500","42"
"90","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","4","50","323","100"
"143","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","1","30","459","100"
"152","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","3","20","356","100"
"124","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","4","40","469","100"
"156","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","4","10","500","66"
"148","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","2","30","362","100"
"157","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","4","20","500","98"
"129","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","5","40","376","100"
"161","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","5","10","500","57.99999999999999"
"138","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","7","30","500","82"
"153","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","3","30","446","100"
"154","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","3","40","366","100"
"162","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","5","20","500","94"
"144","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","1","40","387","100"
"134","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","6","40","360","100"
"158","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","4","30","373","100"
"166","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","6","10","500","32"
"70","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","7","50","379","100"
"149","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","2","40","449","100"
"167","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","6","20","500","98"
"65","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","6","50","416","100"
"100","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","6","50","351","100"
"171","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","7","10","500","52"
"163","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","5","30","500","88"
"176","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","1","10","500","78"
"120","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","3","50","397","100"
"172","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","7","20","500","74"
"110","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","1","50","361","100"
"177","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","1","20","397","100"
"181","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","2","10","500","90"
"168","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","6","30","384","100"
"115","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","2","50","352","100"
"139","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","7","40","406","100"
"159","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","4","40","363","100"
"182","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","2","20","377","100"
"186","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","3","10","500","74"
"187","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","3","20","374","100"
"105","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","7","50","356","100"
"125","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","4","50","367","100"
"170","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","6","50","361","100"
"191","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","4","10","500","68"
"183","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","2","30","390","100"
"164","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","5","40","430","100"
"192","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","4","20","500","92"
"173","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","7","30","500","80"
"196","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","5","10","500","60"
"40","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","1","50","500","0"
"145","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","1","50","387","100"
"197","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","5","20","500","98"
"201","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","6","10","500","84"
"130","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","5","50","373","100"
"198","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","5","30","379","100"
"169","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","6","40","367","100"
"150","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","2","50","449","100"
"193","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","4","30","368","100"
"206","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","7","10","500","64"
"184","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","2","40","486","100"
"202","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","6","20","500","86"
"178","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","1","30","500","0"
"211","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","1","10","500","96"
"155","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","3","50","360","100"
"174","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","7","40","414","100"
"189","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","3","40","371","100"
"216","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","2","10","374","100"
"207","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","7","20","500","68"
"203","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","6","30","434","100"
"221","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","3","10","500","88"
"194","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","4","40","473","100"
"188","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","3","30","500","0"
"208","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","7","30","388","100"
"222","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","3","20","414","100"
"212","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","1","20","500","0"
"217","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","2","20","500","0"
"199","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","5","40","454","100"
"226","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","4","10","500","22"
"165","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","5","50","460","100"
"227","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","4","20","500","94"
"210","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","7","50","409","100"
"135","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","6","50","369","100"
"160","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","5","4","50","439","100"
"223","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","3","30","500","96"
"231","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","5","10","500","34"
"140","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","4","7","50","354","100"
"45","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","2","50","500","0"
"209","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","7","40","452","100"
"236","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","6","10","500","40"
"204","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","6","40","449","100"
"228","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","4","30","395","100"
"213","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","1","30","500","0"
"179","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","1","40","500","0"
"237","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","6","20","500","92"
"241","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","7","10","500","54"
"232","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","5","20","500","42"
"218","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","2","30","500","0"
"233","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","5","30","424","100"
"246","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","8","1","10","500","0"
"195","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","4","50","456","100"
"238","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","6","30","500","94"
"242","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","7","20","500","50"
"251","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","8","2","10","500","0"
"229","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","4","40","395","100"
"244","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","7","40","500","98"
"252","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","8","2","20","500","96"
"247","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","8","1","20","500","0"
"185","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","6","2","50","393","100"
"256","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","8","3","10","500","90"
"243","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","7","7","30","430","100"
