BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model for Pub_v14_Cleaning.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig 3A_v6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/26/2025 11:01:48:413 -0400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,450,0,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],pen,see-wind-arrows,Patch-Scaler,Tick-Scaler,Total-Model-Time-In-Seconds,Size-Of-Food-Source-In-Meters,Total-Time-Spent-Trying-To-Relocate-Odor-Before-Give-Up-Seconds,Starting-Distance-From-Plume-Width-Meters,Starting-Distance-From-Plume-Length-Meters,N-Species2,Species1,S1-Dist-Food-Meters,N-Species1,weight-flocking,Time-Per-Turn,max-turning-radius-degrees-per-second,max-align-cohere-turn-degrees-per-second,max-separate-turn-degrees-per-second,S1-Body-Length-Meters,Eddy-Diffusivity,Rate-Of-Puff-Radius-Increase,Odor-Source-Release-Rate,zig-zag-heading-offset,S1-Flight-Speed-MpS,Denominator-For-Relationship-Between-DR-and-MinSep,S1-DR,S1-Olfaction,Strategy,Seed,[step],(count turtles with [did-find-food = 1]),(count turtles with [did-find-food = 1 and ever-find-odor = 0]),(count turtles with [did-find-food = 1 and ever-find-odor = 1]),(allfoundodor),(count turtles)
61,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,61,1170,2,0,2,4,2
48,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,48,1162,16,0,16,48,16
44,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,44,1072,24,0,24,41,24
53,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,53,1164,22,0,22,44,22
47,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,47,1047,20,0,20,49,20
58,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,58,1093,17,0,17,48,17
55,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,55,1099,18,0,18,45,18
56,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,56,1214,4,0,4,42,4
60,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,60,1240,7,0,7,24,7
57,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,57,1194,27,0,27,37,27
59,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,59,1172,11,0,11,49,11
62,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,62,1159,18,0,18,42,18
63,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,40,11.5,8,20,low,Network Foraging,63,1220,4,0,4,42,4
