BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model for Pub_v14_Cleaning.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig 3A_White Chin Petrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/02/2025 10:05:06:999 -0400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,450,0,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],pen,see-wind-arrows,Patch-Scaler,Tick-Scaler,Total-Model-Time-In-Seconds,Size-Of-Food-Source-In-Meters,Total-Time-Spent-Trying-To-Relocate-Odor-Before-Give-Up-Seconds,Starting-Distance-From-Plume-Width-Meters,Starting-Distance-From-Plume-Length-Meters,N-Species2,Species1,S1-Dist-Food-Meters,N-Species1,weight-flocking,Time-Per-Turn,max-turning-radius-degrees-per-second,max-align-cohere-turn-degrees-per-second,max-separate-turn-degrees-per-second,Eddy-Diffusivity,Rate-Of-Puff-Radius-Increase,Odor-Source-Release-Rate,zig-zag-heading-offset,Denominator-For-Relationship-Between-DR-and-MinSep,S1-Body-Length-Meters,S1-Flight-Speed-MpS,S1-DR,S1-Olfaction,Strategy,Seed,[step],(count turtles with [did-find-food = 1]),(count turtles with [did-find-food = 1 and ever-find-odor = 0]),(count turtles with [did-find-food = 1 and ever-find-odor = 1]),(allfoundodor),(count turtles)
91,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,0.55,11.5,20,low,Network Foraging,91,1141,13,0,13,46,13
93,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,0.55,11.5,20,low,Network Foraging,93,1174,19,0,19,43,19
94,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,0.55,11.5,20,low,Network Foraging,94,1132,12,0,12,36,12
95,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,0.55,11.5,20,low,Network Foraging,95,1131,4,0,4,29,4
96,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,0.55,11.5,20,low,Network Foraging,96,1033,5,0,5,6,5
101,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,0.55,11.5,20,low,Network Foraging,101,469,0,0,0,0,0
99,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,0.55,11.5,20,low,Network Foraging,99,1052,22,0,22,35,22
106,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,0.55,11.5,20,low,Network Foraging,106,448,0,0,0,0,0
98,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,0.55,11.5,20,low,Network Foraging,98,1130,8,0,8,30,8
100,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,0.55,11.5,20,low,Network Foraging,100,1134,17,0,17,40,17
97,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,0.55,11.5,20,low,Network Foraging,97,1193,15,0,15,41,15
107,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,0.55,11.5,20,low,Network Foraging,107,1018,18,0,18,35,18
113,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,0.55,11.5,20,low,Network Foraging,113,1088,7,0,7,19,7
109,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,0.55,11.5,20,low,Network Foraging,109,1154,11,0,11,23,11
108,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,-1,0.001,5,40,8,0.55,11.5,20,low,Network Foraging,108,1170,16,0,16,30,16
