"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Pub.nlogo"
"Mixed Group_Set DD by Olf_More Ranges"
"07/09/2024 11:17:39:349 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","pen","N-Birds","see-wind-arrows","Length-Odor-Trails","Olfaction-Threshold","Detection-Distance","communicate","weight-flock-crosswind","Seed","Mixed-Group","Number-Of-Low-Olf","[step]","(count turtles with [did-find-food = 1])","(count turtles with [ever-find-odor = 1])","(count turtles with [ever-find-odor = 0 and did-find-food = 1])","(count turtles with [ever-find-odor = 1 and did-find-food = 0])","(count turtles with [did-find-food = 1 and dd = 50])","(count turtles with [did-find-food = 1 and dd = 10])"
"181","false","50","false","200","40","50","true","0","91","true","30","500","38","20","30","12","30","8"
"169","false","50","false","200","40","50","true","0","85","true","30","500","5","14","2","11","2","3"
"154","false","50","false","200","40","50","true","0","77","true","49","500","42","1","41","0","41","1"
"164","false","50","false","200","40","50","true","0","82","true","49","500","0","0","0","0","0","0"
"138","false","50","false","200","40","50","true","0","69","true","49","500","0","0","0","0","0","0"
"156","false","50","false","200","40","50","true","0","78","true","49","500","25","1","25","1","25","0"
"183","false","50","false","200","40","50","true","0","92","true","30","500","0","1","0","1","0","0"
"142","false","50","false","200","40","50","true","0","71","true","49","500","17","1","17","1","17","0"
"178","false","50","false","200","40","50","true","0","89","true","49","500","19","1","18","0","18","1"
"170","false","50","false","200","40","50","true","0","85","true","49","500","12","1","12","1","12","0"
"176","false","50","false","200","40","50","true","0","88","true","49","500","48","1","47","0","47","1"
"185","false","50","false","200","40","50","true","0","93","true","30","500","42","12","30","0","30","12"
"193","false","50","false","200","40","50","true","0","97","true","30","500","45","16","30","1","30","15"
"180","false","50","false","200","40","50","true","0","90","true","49","500","32","1","31","0","31","1"
"152","false","50","false","200","40","50","true","0","76","true","49","500","10","1","10","1","10","0"
"195","false","50","false","200","40","50","true","0","98","true","30","500","45","19","30","4","30","15"
"166","false","50","false","200","40","50","true","0","83","true","49","500","3","1","2","0","2","1"
"182","false","50","false","200","40","50","true","0","91","true","49","500","19","1","18","0","18","1"
"201","false","50","false","200","40","50","true","0.95","1","true","30","500","42","20","30","8","30","12"
"161","false","50","false","200","40","50","true","0","81","true","30","500","35","7","30","2","30","5"
"199","false","50","false","200","40","50","true","0","100","true","30","500","40","14","29","3","29","11"
"196","false","50","false","200","40","50","true","0","98","true","49","500","0","0","0","0","0","0"
"172","false","50","false","200","40","50","true","0","86","true","49","500","32","1","31","0","31","1"
"194","false","50","false","200","40","50","true","0","97","true","49","500","0","1","0","1","0","0"
"188","false","50","false","200","40","50","true","0","94","true","49","500","0","0","0","0","0","0"
"191","false","50","false","200","40","50","true","0","96","true","30","500","34","9","30","5","30","4"
"160","false","50","false","200","40","50","true","0","80","true","49","500","18","1","17","0","17","1"
"198","false","50","false","200","40","50","true","0","99","true","49","500","0","0","0","0","0","0"
"189","false","50","false","200","40","50","true","0","95","true","30","500","42","13","30","1","30","12"
"184","false","50","false","200","40","50","true","0","92","true","49","500","0","0","0","0","0","0"
"209","false","50","false","200","40","50","true","0.95","5","true","30","500","19","20","15","16","15","4"
"187","false","50","false","200","40","50","true","0","94","true","30","500","12","2","11","1","11","1"
"197","false","50","false","200","40","50","true","0","99","true","30","500","0","5","0","5","0","0"
"190","false","50","false","200","40","50","true","0","95","true","49","500","40","1","39","0","39","1"
"179","false","50","false","200","40","50","true","0","90","true","30","500","35","19","23","7","23","12"
"186","false","50","false","200","40","50","true","0","93","true","49","500","43","1","42","0","42","1"
"174","false","50","false","200","40","50","true","0","87","true","49","500","0","0","0","0","0","0"
"219","false","50","false","200","40","50","true","0.95","10","true","30","500","38","14","27","3","27","11"
"205","false","50","false","200","40","50","true","0.95","3","true","30","500","0","0","0","0","0","0"
"213","false","50","false","200","40","50","true","0.95","7","true","30","500","39","12","28","1","28","11"
"211","false","50","false","200","40","50","true","0.95","6","true","30","500","48","20","30","2","30","18"
"200","false","50","false","200","40","50","true","0","100","true","49","500","39","1","38","0","38","1"
"233","false","50","false","200","40","50","true","0.95","17","true","30","366","50","20","30","0","30","20"
"217","false","50","false","200","40","50","true","0.95","9","true","30","500","41","19","22","0","22","19"
"202","false","50","false","200","40","50","true","0.95","1","true","49","500","0","0","0","0","0","0"
"223","false","50","false","200","40","50","true","0.95","12","true","30","500","49","20","30","1","30","19"
"204","false","50","false","200","40","50","true","0.95","2","true","49","500","0","0","0","0","0","0"
"235","false","50","false","200","40","50","true","0.95","18","true","30","500","48","20","30","2","30","18"
"203","false","50","false","200","40","50","true","0.95","2","true","30","500","0","3","0","3","0","0"
"225","false","50","false","200","40","50","true","0.95","13","true","30","466","50","20","30","0","30","20"
"192","false","50","false","200","40","50","true","0","96","true","49","500","0","0","0","0","0","0"
"229","false","50","false","200","40","50","true","0.95","15","true","30","500","49","20","30","1","30","19"
"239","false","50","false","200","40","50","true","0.95","20","true","30","500","31","20","25","14","25","6"
"227","false","50","false","200","40","50","true","0.95","14","true","30","366","50","20","30","0","30","20"
"226","false","50","false","200","40","50","true","0.95","13","true","49","500","42","1","41","0","41","1"
"243","false","50","false","200","40","50","true","0.95","22","true","30","500","32","19","23","10","23","9"
"241","false","50","false","200","40","50","true","0.95","21","true","30","390","50","20","30","0","30","20"
"231","false","50","false","200","40","50","true","0.95","16","true","30","500","39","13","30","4","30","9"
"214","false","50","false","200","40","50","true","0.95","7","true","49","500","0","0","0","0","0","0"
"220","false","50","false","200","40","50","true","0.95","10","true","49","500","0","1","0","1","0","0"
"212","false","50","false","200","40","50","true","0.95","6","true","49","500","3","1","3","1","3","0"
"208","false","50","false","200","40","50","true","0.95","4","true","49","500","0","0","0","0","0","0"
"234","false","50","false","200","40","50","true","0.95","17","true","49","500","0","0","0","0","0","0"
"216","false","50","false","200","40","50","true","0.95","8","true","49","500","0","0","0","0","0","0"
"221","false","50","false","200","40","50","true","0.95","11","true","30","500","23","6","17","0","17","6"
"245","false","50","false","200","40","50","true","0.95","23","true","30","343","50","20","30","0","30","20"
"207","false","50","false","200","40","50","true","0.95","4","true","30","500","0","0","0","0","0","0"
"238","false","50","false","200","40","50","true","0.95","19","true","49","500","0","0","0","0","0","0"
"228","false","50","false","200","40","50","true","0.95","14","true","49","424","50","1","49","0","49","1"
"247","false","50","false","200","40","50","true","0.95","24","true","30","500","41","20","24","3","24","17"
"218","false","50","false","200","40","50","true","0.95","9","true","49","500","48","1","47","0","47","1"
"240","false","50","false","200","40","50","true","0.95","20","true","49","500","0","1","0","1","0","0"
"242","false","50","false","200","40","50","true","0.95","21","true","49","500","0","0","0","0","0","0"
"222","false","50","false","200","40","50","true","0.95","11","true","49","500","42","1","42","1","42","0"
"255","false","50","false","200","40","50","true","0.95","28","true","30","500","46","18","28","0","28","18"
"251","false","50","false","200","40","50","true","0.95","26","true","30","500","0","0","0","0","0","0"
"248","false","50","false","200","40","50","true","0.95","24","true","49","500","21","1","21","1","21","0"
"232","false","50","false","200","40","50","true","0.95","16","true","49","500","34","1","34","1","34","0"
"253","false","50","false","200","40","50","true","0.95","27","true","30","500","47","20","30","3","30","17"
"267","false","50","false","200","40","50","true","0.95","34","true","30","500","48","20","30","2","30","18"
"210","false","50","false","200","40","50","true","0.95","5","true","49","500","0","0","0","0","0","0"
"259","false","50","false","200","40","50","true","0.95","30","true","30","500","38","20","24","6","24","14"
"271","false","50","false","200","40","50","true","0.95","36","true","30","353","50","20","30","0","30","20"
"250","false","50","false","200","40","50","true","0.95","25","true","49","500","0","0","0","0","0","0"
"263","false","50","false","200","40","50","true","0.95","32","true","30","500","30","8","24","2","24","6"
"206","false","50","false","200","40","50","true","0.95","3","true","49","500","21","1","20","0","20","1"
"261","false","50","false","200","40","50","true","0.95","31","true","30","364","50","20","30","0","30","20"
"237","false","50","false","200","40","50","true","0.95","19","true","30","500","0","0","0","0","0","0"
"252","false","50","false","200","40","50","true","0.95","26","true","49","500","47","1","46","0","46","1"
"265","false","50","false","200","40","50","true","0.95","33","true","30","498","50","20","30","0","30","20"
"275","false","50","false","200","40","50","true","0.95","38","true","30","500","44","20","30","6","30","14"
"257","false","50","false","200","40","50","true","0.95","29","true","30","500","36","14","22","0","22","14"
